uid,title,summary,teacher_avg_star_rating,subject,age_min,age_max,size_max,class_type,duration_weeks,weekly_meetings,duration_minutes,total_duration_minutes,price_dollars,section_uid,start_date,start_dow,start_hour_of_day,start_time,end_time,total_enrollments,meeting_uid,meeting_start_time,meeting_end_time,meeting_start_dow,meeting_start_hour_of_day
01675f20-9f8b-465b-95a9-a43955214913,Grandparent Show and Tell: Learn to Write a Letter to Your Grandparents,"In this one time class students will learn to write a letter to their grandparent, and bring a photo of their grandparent to share with the class. Then, upon parents approval students will be able to send their grandparents the letter.",4.8779069767441860,English,5,10,8,one_time,1,1,45,45,10.0000000000000000,821e4530-dfc1-4780-a190-d71008bc3e1e,2020-07-15T00:00:00.000-07:00,Wed,16.0,2020-07-15T16:00:00.000-07:00,2020-07-15T16:45:00.000-07:00,1,68ea1ca7-d74e-4a3c-8a9c-6f15f1cd7c5b,2020-07-15T16:00:00.000-07:00,2020-07-15T16:45:00.000-07:00,Wed,16.0
01773139-2ef2-4b39-8f94-de3ee7db2b9f,"Paw Patrol Fun - Shapes, Numbers, and Colors!","Join me for this one-time class to learn about shapes, numbers, and colors! ",4.8535031847133758,Life Skills,3,5,10,one_time,1,1,30,30,10.0000000000000000,507de92f-c280-4f15-85e0-684040ed290d,2020-07-14T00:00:00.000-07:00,Tue,14.0,2020-07-14T14:15:00.000-07:00,2020-07-14T14:45:00.000-07:00,1,6f01edfe-f624-418b-b213-21bcb8cfbb6e,2020-07-14T14:15:00.000-07:00,2020-07-14T14:45:00.000-07:00,Tue,14.0
01f9cb1e-c909-4fe9-9251-4303dd361ad4,Draw It:  Zany Name Design,Join me to learn zany ways to combine the letters of your name and fun patterns!,4.8954802259887006,Arts,7,12,13,one_time,1,1,45,45,14.0000000000000000,b5a811b2-f005-4af1-82cd-8d275a8782f7,2020-07-14T00:00:00.000-07:00,Tue,14.0,2020-07-14T14:00:00.000-07:00,2020-07-14T14:45:00.000-07:00,2,e2c95034-3aa6-4906-bf53-0d365c2870a8,2020-07-14T14:00:00.000-07:00,2020-07-14T14:45:00.000-07:00,Tue,14.0
01fcf92b-ce32-4476-bc1e-61378bdd3784,Understanding How To Take Great Photos: 4 Week Kids Photography Course,"In this 4 week course, students will learn about choosing subjects, lighting, composing images and how to pull these ideas together to make creative photographs.",4.9090909090909091,Arts,7,12,9,short,4,1,55,55,60.0000000000000000,6b05e8d5-6ba5-48fa-b0a5-60ccbc0e56b1,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-08-05T09:55:00.000-07:00,4,84302946-1121-4efc-8377-7f0797f27893,2020-08-05T09:00:00.000-07:00,2020-08-05T09:55:00.000-07:00,Wed,9.0
01fcf92b-ce32-4476-bc1e-61378bdd3784,Understanding How To Take Great Photos: 4 Week Kids Photography Course,"In this 4 week course, students will learn about choosing subjects, lighting, composing images and how to pull these ideas together to make creative photographs.",4.9090909090909091,Arts,7,12,9,short,4,1,55,55,60.0000000000000000,6b05e8d5-6ba5-48fa-b0a5-60ccbc0e56b1,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-08-05T09:55:00.000-07:00,4,651ed4c8-83a7-48cb-84f9-927424e7f494,2020-07-29T09:00:00.000-07:00,2020-07-29T09:55:00.000-07:00,Wed,9.0
01fcf92b-ce32-4476-bc1e-61378bdd3784,Understanding How To Take Great Photos: 4 Week Kids Photography Course,"In this 4 week course, students will learn about choosing subjects, lighting, composing images and how to pull these ideas together to make creative photographs.",4.9090909090909091,Arts,7,12,9,short,4,1,55,55,60.0000000000000000,6b05e8d5-6ba5-48fa-b0a5-60ccbc0e56b1,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-08-05T09:55:00.000-07:00,4,15fae7ea-143a-44d8-971e-9d760fd01314,2020-07-22T09:00:00.000-07:00,2020-07-22T09:55:00.000-07:00,Wed,9.0
01fcf92b-ce32-4476-bc1e-61378bdd3784,Understanding How To Take Great Photos: 4 Week Kids Photography Course,"In this 4 week course, students will learn about choosing subjects, lighting, composing images and how to pull these ideas together to make creative photographs.",4.9090909090909091,Arts,7,12,9,short,4,1,55,55,60.0000000000000000,6b05e8d5-6ba5-48fa-b0a5-60ccbc0e56b1,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-08-05T09:55:00.000-07:00,4,f852a6c2-b694-40c9-ba2b-b0744803e87e,2020-07-15T09:00:00.000-07:00,2020-07-15T09:55:00.000-07:00,Wed,9.0
0212942f-cde1-4423-8a8d-2eb7dbaf810b,Multi-Sensory Sight Words  (Kindergarten word list),"In this ongoing course, students will learn Kindergarten sight words (from the Dolch word list) through various multi-sensory activities! Sight words are words that show up frequently in text and cannot not be easily sounded out--they need to be learned by ""sight"", hence the term to describe these words.",4.9870129870129870,English,5,6,5,ongoing,2,1,30,30,12.0000000000000000,a0f3285b-29cd-4a56-85fd-b967bbccf570,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-09-23T09:30:00.000-07:00,1,98f6ab8e-6320-490d-bd5b-1c912a1a65f7,2020-09-23T09:00:00.000-07:00,2020-09-23T09:30:00.000-07:00,Wed,9.0
0212942f-cde1-4423-8a8d-2eb7dbaf810b,Multi-Sensory Sight Words  (Kindergarten word list),"In this ongoing course, students will learn Kindergarten sight words (from the Dolch word list) through various multi-sensory activities! Sight words are words that show up frequently in text and cannot not be easily sounded out--they need to be learned by ""sight"", hence the term to describe these words.",4.9870129870129870,English,5,6,5,ongoing,2,1,30,30,12.0000000000000000,a0f3285b-29cd-4a56-85fd-b967bbccf570,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-09-23T09:30:00.000-07:00,1,e9346c7a-701f-4902-9ebf-35268614fe09,2020-09-16T09:00:00.000-07:00,2020-09-16T09:30:00.000-07:00,Wed,9.0
0212942f-cde1-4423-8a8d-2eb7dbaf810b,Multi-Sensory Sight Words  (Kindergarten word list),"In this ongoing course, students will learn Kindergarten sight words (from the Dolch word list) through various multi-sensory activities! Sight words are words that show up frequently in text and cannot not be easily sounded out--they need to be learned by ""sight"", hence the term to describe these words.",4.9870129870129870,English,5,6,5,ongoing,2,1,30,30,12.0000000000000000,a0f3285b-29cd-4a56-85fd-b967bbccf570,2020-07-15T00:00:00.000-07:00,Wed,9.0,2020-07-15T09:00:00.000-07:00,2020-09-23T09:30:00.000-07:00,1,e738edd1-0a74-447e-9437-307a250b15ce,2020-09-09T09:00:00.000-07:00,2020-09-09T09:30:00.000-07:00,Wed,9.0
